Testimonials	Class	Abbreviated Name
I recently had a private training session with Joe Tandle from NYIM.  The overall experience was great.  I feel the instructor was well educated on the tools I needed in order to succeed in my current role.  The pace of the class was wonderful.  It allowed me to ask thoughtful questions on ambiguous material and in return the answers were clear and concise.  The instructor was well- prepared.  He also supplied me with supporting documentation to use at all times.  He even went so far as to provide me the opportunity to call him at anytime in the future if I ever ran into a problem.  Overall, I would rate the preparation, use of time, knowledge of material and general kindness as one of the best training classes/sessions that I have ever attended.  I have and will continue to recommend Joe Tandle and the folks at NYIM to others.	Excel and PowerPoint Private Training	K. Burton of Microsoft Corp.
The instructor was very helpful. He really knows his PowerPoint. I feel that I go the attention I needed. I think it's wonderful to have a smaller class because that way the instructor has more time to spend with the student. New York Interactive Media is the BEST place to take computer classes. I was very impressed with this PowerPoint class.HOORAY!!!! Whatever didn't register in my head is written in black and white in the manual. This makes things more easier for the student. I NEVER had any connection with PowerPoint but today's class has given me a better perspective.	PowerPoint 2007 for Business Group Class	A.G.
Glenn Harris is extremely knowledgable of excel and can TEACH the material. I loved this class; Glenn and five of us. Very intimate, that is what I paid for. His knowledge of excel taught to me and my classmates were great because we all had somthing to add. I even brought up this class on a job interview. Very satisfied!!!	Advanced Excel 2003 for Business Group Class	K.B.
Joe was a wonderful teacher. The pace of the class was great, when someone didn't undestand anything he took the time to fully explain it until everyone got it...no one should feel left behind in his class. I feel like I will walk out of this with the skills/knowledge that I was looking for. I highly recommend taking these classes.	Flash Essentials Group Class	J.F.
Mikelle was fantastic. She answered all question in depth, until every class member understood.	Photoshop & Illustrator for the Fashion Industry Group Class	C.H.
Having participated in a private training session for myself and co-worker as opposed to a group setting I found it to be personal and extremely helpful. I didn't feel as if I were lost as can be the case when part of a group. Our instructor, Scott had an excellent knowledge of the material he presented. He was very professional and patient. I would recommend him for any who are interested in Excel training. I appreciated that he was willing to go over the basics in Excel as a refresher before moving to the advanced version.	Excel for Business 2003 Private Training	C.J.
Joe was wonderful and really knowledgable. He also made sure to keep closely in touch with each of our progress as the training progressed	PowerPoint 2007 Private Training	Global Health Strategies
Scott is a really good instructor. One can already tell he's very very knowledgeable about the software he's teaching about. The rest is totally up to the student to be diligent.	Excel 2007for Business Group Class	C.A.
Anthony's mastery of Excel and ability to pace teaching to the student's experience (or lack of) in Excel allows each student to grasp concepts and make connections to daily work practice regardless of industry. Anthony is an excellent teach and highly recommend him to other students. THANK YOU!	Excel for Business Group Class	D.I.
Our instructor Joe was very good; he answered all of our questions, and really took time with each person to handle their questions and stumbling blocks. The CSS part: it is really going to help me with my business, and my ability to help clients create consistent styles for their websites. The small class size helped: only 5 of us, so we all got our questions answered.	Dreamweaver Essentials 3 dayGroup Class	N.A.
